,nombre_mpio_dest,lat_dest,lon_dest
0,HISPANIA,-75.91561016218199,5.79761205
1,SANTA MARTA,-73.88035199979392,11.08665565
2,LA DORADA,-74.6787234886909,5.53219675
3,YARUMAL,-75.408517958635,7.00802055
4,FREDONIA,-75.6908071247597,5.87507465
5,EL GUAMO,-74.9754413,10.031260699999999
6,SANTA MARTA,-73.88035199979392,11.08665565
7,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
8,SANTA MARTA,-73.88035199979392,11.08665565
9,CONCORDIA,-74.7586240534815,10.23088415
10,SOATÁ,-72.7009714867958,6.3218894
11,FUSAGASUGÁ,-74.3644854,4.3369235
12,SUPATÁ,-74.23640209999999,5.062166599999999
13,CIÉNAGA DE ORO,-75.6210036,8.8746769
14,CÓRDOBA,-79.4088901,-2.0367194
15,MEDELLÍN,-75.573553,6.2443382000000005
16,MACANAL,-73.2854716829602,4.9818602
17,CÓMBITA,-73.30919664147801,5.69042285
18,MONIQUIRÁ,-73.5440979007064,5.86870335
19,SAN GIL,-73.1312353,6.5552856
20,TAME,-71.724362,6.4615656999999995
21,BOLÍVAR,-73.770548,5.9899805
22,SAN LUIS DE GACENO,-73.1679009,4.8206948
23,"BOGOTÁ, D.C.",,
24,PESCA,-73.0514809,5.5582793
25,ZETAQUIRA,-73.1669653272936,5.2821538
26,PALESTINA,-75.67489022817179,5.0652614
27,PALESTINA,-75.67489022817179,5.0652614
28,RIOSUCIO,-75.7710303485185,5.4495362
29,FRESNO,-75.0371423,5.1535058
30,NEIVA,-75.2794417696023,3.0332673
31,MILÁN,-75.5076247,1.2900867
32,MORELIA,-75.724859,1.4874697000000001
33,MERCADERES,-77.16208883213791,1.80541635
34,BOLÍVAR,-76.9665816,1.8368156000000002
35,CALI,-76.5324943,3.4517922999999997
36,CALI,-76.5324943,3.4517922999999997
37,PROVIDENCIA,-76.97909449999999,1.4487948
38,CAJIBÍO,-76.7165015826487,2.655067
39,CALI,-76.5324943,3.4517922999999997
40,PEREIRA,-75.69464509999999,4.8142912
41,CALI,-76.5324943,3.4517922999999997
42,RIOHACHA,-72.90697840000001,11.544634
43,CARTAGENA DE INDIAS,-75.48929455630041,10.413179199999998
44,CIÉNAGA,-73.9538368494131,10.8567448
45,COVEÑAS,-75.63978929331199,9.41146205
