,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
7,3000007_1,1,0.0,Medellín,mujer,55.0,55_60,1,557000.0,0_1,viudo,ninguno,si,si,1,Antioquia,5353.0,15/01/2019 0:00,22/01/2019 0:00,7.0,visita,,publico,50000.0,,no,,no,,no,no,,no,,,,,,,,,,HISPANIA,"-75.573553,6.2443382",-75.573553,6.2443382,"-75.915610162182,5.79761205",-75.915610162182,5.79761205
19,3000019_1,2,0.049180327868852465,Medellín,familia,61.0,60_65,3,0.0,no_reporta,familia,superior_univerisitario,si,si,1,Magdalena,47001.0,10/01/2019 0:00,14/01/2019 0:00,4.0,vacaciones,,aereo,4000000.0,,si,1000000.0,si,100000.0,si,si,400000.0,no,,,,,,,,,,SANTA MARTA,"-75.573553,6.2443382",-75.573553,6.2443382,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
21,3000021_1,1,0.0,Medellín,mujer,56.0,55_60,3,1000000.0,1_2,separado,primaria,si,si,1,Caldas,17380.0,22/12/2018 0:00,8/01/2019 0:00,17.0,vacaciones,,publico,1000000.0,,no,,si,50000.0,si,no,,no,,,,,,,,,,LA DORADA,"-75.573553,6.2443382",-75.573553,6.2443382,"-74.6787234886909,5.53219675",-74.6787234886909,5.53219675
22,3000022_1,3,0.6200931953620005,Medellín,familia,30.0,30_35,3,2600000.0,3_5,familia,superior_tecnico,si,si,1,Antioquia,5887.0,30/12/2018 0:00,2/01/2019 0:00,3.0,visita,,particular,250000.0,,si,35000.0,no,,si,no,,no,,,,,,,,,,YARUMAL,"-75.573553,6.2443382",-75.573553,6.2443382,"-75.408517958635,7.00802055",-75.408517958635,7.00802055
24,3000024_1,2,0.4473684210526316,Medellín,familia,38.0,35_40,3,1000000.0,1_2,familia,superior_bachiller,si,si,1,Antioquia,5282.0,1/01/2019 0:00,7/01/2019 0:00,6.0,visita,,publico,300000.0,,no,,no,,si,no,,no,,,,,,,,,,FREDONIA,"-75.573553,6.2443382",-75.573553,6.2443382,"-75.6908071247597,5.87507465",-75.6908071247597,5.87507465
25,3000025_1,5,0.8362194918493306,Barranquilla,familia,10.0,10_15,1,600000.0,0_1,familia,primaria,si,si,1,Bolívar,13248.0,29/12/2018 0:00,3/01/2019 0:00,5.0,visita,,publico,250000.0,,no,,no,,si,no,,no,,,,,,,,,,EL GUAMO,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-74.9754413,10.0312607",-74.9754413,10.0312607
31,3000031_1,6,0.4971346468944376,Barranquilla,familia,23.0,20_25,1,1800000.0,2_3,familia,superior_bachiller,si,si,1,Magdalena,47001.0,8/01/2019 0:00,10/01/2019 0:00,2.0,otros,,publico,170000.0,,si,70000.0,si,20000.0,si,no,,no,,,,,,,,,,SANTA MARTA,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
61,3000061_1,5,0.6335220613938151,Barranquilla,familia,43.0,40_45,2,1500000.0,1_2,familia,superior_univerisitario,si,si,1,Bolívar,13001.0,28/12/2018 0:00,7/01/2019 0:00,10.0,visita,,publico,150000.0,,no,,no,,no,no,,no,,,,,,,,,,CARTAGENA DE INDIAS,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-75.4892945563004,10.4131792",-75.4892945563004,10.4131792
63,3000063_1,2,0.07547169811320754,Barranquilla,familia,53.0,50_55,1,1200000.0,1_2,familia,secundaria,si,si,1,Magdalena,47001.0,11/01/2019 0:00,14/01/2019 0:00,3.0,visita,,publico,50000.0,,no,,no,,no,no,,no,,,,,,,,,,SANTA MARTA,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
64,3000064_1,4,0.2829221567691921,Barranquilla,familia,28.0,25_30,1,3600000.0,3_5,familia,superior_tecnico,si,si,1,Magdalena,47205.0,12/01/2019 0:00,13/01/2019 0:00,1.0,visita,,publico,50000.0,,no,,no,,no,no,,no,,,,,,,,,,CONCORDIA,"-74.8013085,10.9799669",-74.8013085,10.9799669,"-74.7586240534815,10.23088415",-74.7586240534815,10.23088415
