,ciudad_origen,lat_origen,lon_origen
0,Medellín,-75.573553,6.2443382000000005
1,Medellín,-75.573553,6.2443382000000005
2,Medellín,-75.573553,6.2443382000000005
3,Medellín,-75.573553,6.2443382000000005
4,Medellín,-75.573553,6.2443382000000005
5,Barranquilla,-74.80130849999999,10.9799669
6,Barranquilla,-74.80130849999999,10.9799669
7,Barranquilla,-74.80130849999999,10.9799669
8,Barranquilla,-74.80130849999999,10.9799669
9,Barranquilla,-74.80130849999999,10.9799669
10,Bogotá,-74.0760439,4.59808
11,Bogotá,-74.0760439,4.59808
12,Bogotá,-74.0760439,4.59808
13,Cartagena,-1.0006184,37.6267868
14,Cartagena,-1.0006184,37.6267868
15,Cartagena,-1.0006184,37.6267868
16,Tunja,-73.361362,5.532363200000001
17,Tunja,-73.361362,5.532363200000001
18,Tunja,-73.361362,5.532363200000001
19,Tunja,-73.361362,5.532363200000001
20,Tunja,-73.361362,5.532363200000001
21,Tunja,-73.361362,5.532363200000001
22,Tunja,-73.361362,5.532363200000001
23,Tunja,-73.361362,5.532363200000001
24,Tunja,-73.361362,5.532363200000001
25,Tunja,-73.361362,5.532363200000001
26,Manizales,-75.5173198,5.068110400000001
27,Manizales,-75.5173198,5.068110400000001
28,Manizales,-75.5173198,5.068110400000001
29,Manizales,-75.5173198,5.068110400000001
30,Florencia,11.2555757,43.769871200000004
31,Florencia,11.2555757,43.769871200000004
32,Florencia,11.2555757,43.769871200000004
33,Popayán,-76.6062744,2.4420181
34,Popayán,-76.6062744,2.4420181
35,Popayán,-76.6062744,2.4420181
36,Popayán,-76.6062744,2.4420181
37,Popayán,-76.6062744,2.4420181
38,Popayán,-76.6062744,2.4420181
39,Popayán,-76.6062744,2.4420181
40,Popayán,-76.6062744,2.4420181
41,Popayán,-76.6062744,2.4420181
42,Valledupar,-73.3757933882845,10.34311145
43,Valledupar,-73.3757933882845,10.34311145
44,Valledupar,-73.3757933882845,10.34311145
45,Monteria,-75.887029,8.7558921
46,Monteria,-75.887029,8.7558921
47,Monteria,-75.887029,8.7558921
48,Monteria,-75.887029,8.7558921
49,Monteria,-75.887029,8.7558921
50,Monteria,-75.887029,8.7558921
51,Quibdó,-76.6540463,5.684570900000001
52,Neiva,-75.2794417696023,3.0332673
53,Neiva,-75.2794417696023,3.0332673
54,Neiva,-75.2794417696023,3.0332673
55,Neiva,-75.2794417696023,3.0332673
56,Neiva,-75.2794417696023,3.0332673
57,Neiva,-75.2794417696023,3.0332673
58,Villavicencio,-73.6206667,4.1315113
59,Villavicencio,-73.6206667,4.1315113
60,Villavicencio,-73.6206667,4.1315113
61,Pasto,-77.27825159999999,1.2146286
62,Pasto,-77.27825159999999,1.2146286
63,Cúcuta,-72.5080387,7.8971458
64,Cúcuta,-72.5080387,7.8971458
65,Cúcuta,-72.5080387,7.8971458
66,Cúcuta,-72.5080387,7.8971458
67,Cúcuta,-72.5080387,7.8971458
68,Cúcuta,-72.5080387,7.8971458
69,Cúcuta,-72.5080387,7.8971458
70,Cúcuta,-72.5080387,7.8971458
71,Armenia,44.6736646,40.7696272
72,Armenia,44.6736646,40.7696272
73,Pereira,-75.69464509999999,4.8142912
74,Pereira,-75.69464509999999,4.8142912
75,Pereira,-75.69464509999999,4.8142912
76,Pereira,-75.69464509999999,4.8142912
77,Pereira,-75.69464509999999,4.8142912
78,Pereira,-75.69464509999999,4.8142912
79,Pereira,-75.69464509999999,4.8142912
80,Bucaramanga,-73.11728690000001,7.111461099999999
81,Bucaramanga,-73.11728690000001,7.111461099999999
82,Bucaramanga,-73.11728690000001,7.111461099999999
83,Bucaramanga,-73.11728690000001,7.111461099999999
84,Bucaramanga,-73.11728690000001,7.111461099999999
85,Sincelejo,-75.4329805907975,9.31542935
86,Sincelejo,-75.4329805907975,9.31542935
87,Sincelejo,-75.4329805907975,9.31542935
88,Sincelejo,-75.4329805907975,9.31542935
89,Sincelejo,-75.4329805907975,9.31542935
90,Ibagué,-75.2430012,4.4446595
91,Ibagué,-75.2430012,4.4446595
92,Ibagué,-75.2430012,4.4446595
93,Ibagué,-75.2430012,4.4446595
94,Ibagué,-75.2430012,4.4446595
95,Ibagué,-75.2430012,4.4446595
96,Cali,-76.5324943,3.4517922999999997
97,Cali,-76.5324943,3.4517922999999997
98,Cali,-76.5324943,3.4517922999999997
99,Cali,-76.5324943,3.4517922999999997
100,San Andrés,-90.45208303237891,17.391202800000002
101,Pasto,-77.27825159999999,1.2146286
102,Florencia,11.2555757,43.769871200000004
103,Sincelejo,-75.4329805907975,9.31542935
104,Cúcuta,-72.5080387,7.8971458
105,Sincelejo,-75.4329805907975,9.31542935
106,Sincelejo,-75.4329805907975,9.31542935
107,Ibagué,-75.2430012,4.4446595
108,Florencia,11.2555757,43.769871200000004
109,Cúcuta,-72.5080387,7.8971458
110,San Andrés,-90.45208303237891,17.391202800000002
111,Florencia,11.2555757,43.769871200000004
112,Popayán,-76.6062744,2.4420181
113,Popayán,-76.6062744,2.4420181
114,Popayán,-76.6062744,2.4420181
115,Cúcuta,-72.5080387,7.8971458
116,Cúcuta,-72.5080387,7.8971458
117,San Andrés,-90.45208303237891,17.391202800000002
118,Tunja,-73.361362,5.532363200000001
119,Cúcuta,-72.5080387,7.8971458
120,Manizales,-75.5173198,5.068110400000001
121,San Andrés,-90.45208303237891,17.391202800000002
122,Cartagena,-1.0006184,37.6267868
123,Manizales,-75.5173198,5.068110400000001
124,Cúcuta,-72.5080387,7.8971458
125,Manizales,-75.5173198,5.068110400000001
126,Manizales,-75.5173198,5.068110400000001
127,Cartagena,-1.0006184,37.6267868
128,Manizales,-75.5173198,5.068110400000001
129,Manizales,-75.5173198,5.068110400000001
130,Tunja,-73.361362,5.532363200000001
131,Florencia,11.2555757,43.769871200000004
132,Pereira,-75.69464509999999,4.8142912
133,Tunja,-73.361362,5.532363200000001
134,Pereira,-75.69464509999999,4.8142912
135,Pereira,-75.69464509999999,4.8142912
136,Villavicencio,-73.6206667,4.1315113
137,Bogotá,-74.0760439,4.59808
138,Riohacha,-72.90697840000001,11.544634
139,Pereira,-75.69464509999999,4.8142912
140,Pereira,-75.69464509999999,4.8142912
141,Bogotá,-74.0760439,4.59808
142,Bogotá,-74.0760439,4.59808
143,Pereira,-75.69464509999999,4.8142912
144,Bogotá,-74.0760439,4.59808
145,Pereira,-75.69464509999999,4.8142912
146,Villavicencio,-73.6206667,4.1315113
147,Bucaramanga,-73.11728690000001,7.111461099999999
148,Bogotá,-74.0760439,4.59808
149,Bogotá,-74.0760439,4.59808
150,Bogotá,-74.0760439,4.59808
151,Villavicencio,-73.6206667,4.1315113
152,Bogotá,-74.0760439,4.59808
153,Villavicencio,-73.6206667,4.1315113
154,Bucaramanga,-73.11728690000001,7.111461099999999
155,Pasto,-77.27825159999999,1.2146286
156,Pasto,-77.27825159999999,1.2146286
157,Popayán,-76.6062744,2.4420181
158,Popayán,-76.6062744,2.4420181
159,Popayán,-76.6062744,2.4420181
160,Medellín,-75.573553,6.2443382000000005
161,Riohacha,-72.90697840000001,11.544634
162,Riohacha,-72.90697840000001,11.544634
163,Medellín,-75.573553,6.2443382000000005
164,Medellín,-75.573553,6.2443382000000005
165,Pereira,-75.69464509999999,4.8142912
166,Villavicencio,-73.6206667,4.1315113
167,Villavicencio,-73.6206667,4.1315113
168,Medellín,-75.573553,6.2443382000000005
169,Medellín,-75.573553,6.2443382000000005
170,Medellín,-75.573553,6.2443382000000005
171,Medellín,-75.573553,6.2443382000000005
172,Medellín,-75.573553,6.2443382000000005
173,Medellín,-75.573553,6.2443382000000005
174,Medellín,-75.573553,6.2443382000000005
175,Medellín,-75.573553,6.2443382000000005
176,Barranquilla,-74.80130849999999,10.9799669
177,Barranquilla,-74.80130849999999,10.9799669
178,Barranquilla,-74.80130849999999,10.9799669
179,Barranquilla,-74.80130849999999,10.9799669
180,Barranquilla,-74.80130849999999,10.9799669
181,Barranquilla,-74.80130849999999,10.9799669
182,Barranquilla,-74.80130849999999,10.9799669
183,Barranquilla,-74.80130849999999,10.9799669
184,Barranquilla,-74.80130849999999,10.9799669
185,Bogotá,-74.0760439,4.59808
186,Bogotá,-74.0760439,4.59808
187,Bogotá,-74.0760439,4.59808
188,Bogotá,-74.0760439,4.59808
189,Bogotá,-74.0760439,4.59808
190,Bogotá,-74.0760439,4.59808
191,Bogotá,-74.0760439,4.59808
192,Bogotá,-74.0760439,4.59808
193,Bogotá,-74.0760439,4.59808
194,Bogotá,-74.0760439,4.59808
195,Cartagena,-1.0006184,37.6267868
196,Cartagena,-1.0006184,37.6267868
197,Cartagena,-1.0006184,37.6267868
198,Tunja,-73.361362,5.532363200000001
199,Tunja,-73.361362,5.532363200000001
200,Tunja,-73.361362,5.532363200000001
201,Tunja,-73.361362,5.532363200000001
202,Tunja,-73.361362,5.532363200000001
203,Tunja,-73.361362,5.532363200000001
204,Tunja,-73.361362,5.532363200000001
205,Tunja,-73.361362,5.532363200000001
206,Tunja,-73.361362,5.532363200000001
207,Tunja,-73.361362,5.532363200000001
208,Tunja,-73.361362,5.532363200000001
209,Manizales,-75.5173198,5.068110400000001
210,Manizales,-75.5173198,5.068110400000001
211,Manizales,-75.5173198,5.068110400000001
212,Manizales,-75.5173198,5.068110400000001
213,Manizales,-75.5173198,5.068110400000001
214,Manizales,-75.5173198,5.068110400000001
215,Manizales,-75.5173198,5.068110400000001
216,Florencia,11.2555757,43.769871200000004
217,Florencia,11.2555757,43.769871200000004
218,Florencia,11.2555757,43.769871200000004
219,Florencia,11.2555757,43.769871200000004
220,Florencia,11.2555757,43.769871200000004
221,Popayán,-76.6062744,2.4420181
222,Popayán,-76.6062744,2.4420181
223,Popayán,-76.6062744,2.4420181
224,Popayán,-76.6062744,2.4420181
225,Popayán,-76.6062744,2.4420181
226,Popayán,-76.6062744,2.4420181
227,Popayán,-76.6062744,2.4420181
228,Popayán,-76.6062744,2.4420181
229,Valledupar,-73.3757933882845,10.34311145
230,Valledupar,-73.3757933882845,10.34311145
231,Valledupar,-73.3757933882845,10.34311145
232,Valledupar,-73.3757933882845,10.34311145
233,Valledupar,-73.3757933882845,10.34311145
234,Valledupar,-73.3757933882845,10.34311145
235,Valledupar,-73.3757933882845,10.34311145
236,Valledupar,-73.3757933882845,10.34311145
237,Valledupar,-73.3757933882845,10.34311145
238,Valledupar,-73.3757933882845,10.34311145
239,Valledupar,-73.3757933882845,10.34311145
240,Valledupar,-73.3757933882845,10.34311145
241,Monteria,-75.887029,8.7558921
242,Monteria,-75.887029,8.7558921
243,Monteria,-75.887029,8.7558921
244,Monteria,-75.887029,8.7558921
245,Monteria,-75.887029,8.7558921
246,Monteria,-75.887029,8.7558921
247,Monteria,-75.887029,8.7558921
248,Monteria,-75.887029,8.7558921
249,Monteria,-75.887029,8.7558921
250,Quibdó,-76.6540463,5.684570900000001
251,Quibdó,-76.6540463,5.684570900000001
252,Quibdó,-76.6540463,5.684570900000001
253,Quibdó,-76.6540463,5.684570900000001
254,Quibdó,-76.6540463,5.684570900000001
255,Neiva,-75.2794417696023,3.0332673
256,Neiva,-75.2794417696023,3.0332673
257,Neiva,-75.2794417696023,3.0332673
258,Neiva,-75.2794417696023,3.0332673
259,Neiva,-75.2794417696023,3.0332673
260,Neiva,-75.2794417696023,3.0332673
261,Neiva,-75.2794417696023,3.0332673
262,Neiva,-75.2794417696023,3.0332673
263,Neiva,-75.2794417696023,3.0332673
264,Riohacha,-72.90697840000001,11.544634
265,Riohacha,-72.90697840000001,11.544634
266,Riohacha,-72.90697840000001,11.544634
267,Riohacha,-72.90697840000001,11.544634
268,Riohacha,-72.90697840000001,11.544634
269,Riohacha,-72.90697840000001,11.544634
270,Riohacha,-72.90697840000001,11.544634
271,Riohacha,-72.90697840000001,11.544634
272,Riohacha,-72.90697840000001,11.544634
273,Riohacha,-72.90697840000001,11.544634
274,Riohacha,-72.90697840000001,11.544634
275,Riohacha,-72.90697840000001,11.544634
276,Riohacha,-72.90697840000001,11.544634
277,Santa Marta,-88.6118965,17.0920157
278,Santa Marta,-88.6118965,17.0920157
279,Villavicencio,-73.6206667,4.1315113
280,Villavicencio,-73.6206667,4.1315113
281,Villavicencio,-73.6206667,4.1315113
282,Villavicencio,-73.6206667,4.1315113
283,Villavicencio,-73.6206667,4.1315113
